Cod_Papel;Data_Previsao;Previsao;Reg_Score_Total;Perc_Acertos;Perc_Acertos_Positivo;Rate;Preco_Min_Ant;Preco_Max_Ant;Preco_Ult_Ant;Preco_Min_Prev;Preco_Max_Prev;Preco_Ult_Prev;Perc_Ganho_Prev;Perc_Ganho_Pot;Esc
AALR3       ;2021-11-17;-0,24;0,03;0,68;0,58;0,0118;12,44;13,54;13,04;12,34;13,22;12,8;-1,84;1,38;1
ABCB4       ;2021-11-17;0,03;0,04;0,62;0,62;0,0154;15,93;16,56;16,01;15,73;16,34;16,040000000000006;0,19;2,06;1
ABEV3       ;2021-11-17;0,03;0,08;0,44;0,41;0,0144;17,44;17,69;17,51;17,380000000000006;17,73;17,540000000000006;0,17;1,26;1
AERI3       ;2021-11-17;-0,02;0,08;0,44;0,5;0,0176;8,07;8,55;8,46;8,24;8,620000000000001;8,440000000000001;-0,24;1,89;1
AESB3       ;2021-11-17;0,07;0,06;0,5;0,2;0,006;11,24;11,61;11,3;11,16;11,53;11,37;0,62;2,04;1
AGRO3       ;2021-11-17;-0,1;0,02;0,64;0,65;0,0083;25,61;26,7;25,7;25,12;26,09;25,6;-0,39;1,52;1
ALLD3       ;2021-11-17;0,47;0,08;0,47;0,5;0,0188;15,62;16,41;16,34;16,24;17,06;16,81;2,88;4,41;1
ALPA4       ;2021-11-17;0,31;0,02;0,52;0,47;0,0049;40,19;42,26;40,48;39,7;41,49;40,79;0,77;2,5;1
ALSO3       ;2021-11-17;0,19;0,04;0,57;0,57;0,013000000000000001;21,7;22,65;22,09;21,76;22,63;22,28;0,86;2,44;1
AMAR3       ;2021-11-17;-0,01;0,12;0,48;0,45;0,0259;4,49;4,98;4,5;4,25;4,69;4,49;-0,22;4,22;1
AMBP3       ;2021-11-17;0,74;0,04;0,56;0,5;0,0112;40,34;45,5;45,1;44,35;47,55;45,84;1,64;5,43;1
ANIM3       ;2021-11-17;-0,03;0,02;0,46;0,46;0,0042;7,01;7,74;7,11;6,72;7,34;7,08;-0,42;3,23;1
APER3       ;2021-11-17;-0,18;0,02;0,68;0,7;0,0095;31,62;34,21;32,06;30,9;33,03;31,880000000000006;-0,56;3,03;1
ARZZ3       ;2021-11-17;-0,03;0,06;0,48;0,45;0,013000000000000001;72,98;77,93;73,68;71,79;75,24000000000002;73,65;-0,04;2,12;1
ASAI3       ;2021-11-17;-0,04;0,06;0,5;0,25;0,0075;14,65;15,55;14,84;13,77;15,09;14,8;-0,27;1,68;1
AZEV4       ;2021-11-17;0,05;0,05;0,52;0,44;0,0114;3,54;3,98;3,76;3,66;4,03;3,81;1,33;7,18;1
